Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Mistral AI,https://www.crunchbase.com/funding_round/mistral-ai-seed--904ada2b,Seed,105000000,EUR,113388724,2023-06-13,14,1,Mistral AI is a platform that assembles team to develop the generative AI models.,"Artificial Intelligence, Software","Paris, Ile-de-France, France, Europe",,https://mistral.ai/,Mistral AI,https://www.crunchbase.com/organization/mistral-ai
Seed Round - Meanwhile,https://www.crunchbase.com/funding_round/meanwhile-3fc0-seed--35b6a809,Seed,19000000,USD,19000000,2023-06-06,32,1,Meanwhile is a licensed and regulated life insurance business.,"Financial Services, Insurance","Hamilton, Ontario, Canada, North America",,https://meanwhile.bm/,Meanwhile,https://www.crunchbase.com/organization/meanwhile-3fc0
Seed Round - Payrails,https://www.crunchbase.com/funding_round/payrails-seed--0b3b90f1,Seed,14400000,USD,14400000,2023-06-07,4,2,Payrails enables high-growth companies to craft their payment experiences and financial services globally.,"Developer APIs, Enterprise Software, Financial Services, FinTech, Mobile Payments, Payments","Berlin, Berlin, Germany, Europe",Less than $1M,https://www.payrails.com,Payrails,https://www.crunchbase.com/organization/payrails
Seed Round - PYOR,https://www.crunchbase.com/funding_round/pyor-seed--7c8cd58d,Seed,330000000,INR,3989104,2023-05-18,8,1,PYOR has extensive expertise building in crypto and has played major roles in the creation of several large Indian unicorns.,"Blockchain, Cryptocurrency","Bangalore, Karnataka, India, Asia",,https://www.pyor.xyz,PYOR,https://www.crunchbase.com/organization/pyor
Pre Seed Round - Proxima Fusion,https://www.crunchbase.com/funding_round/proxima-fusion-pre-seed--10c072b7,Pre-Seed,7000000,EUR,7506227,2023-05-30,4,1,Proxima Fusion creates new types of power plants using stellarators that optimised to create magnetic cages for high-energy particles.,"Energy, Power Grid","Munich, Bayern, Germany, Europe",,https://www.proximafusion.com/,Proxima Fusion,https://www.crunchbase.com/organization/proxima-fusion
Seed Round - XFlow,https://www.crunchbase.com/funding_round/xflow-4961-seed--ffe15efd,Seed,10200000,USD,10200000,2023-05-25,4,2,XFlow is a fintech company that provides cross-border payments infrastructure.,"Finance, FinTech, Payments, Software","Bangalore, Karnataka, India, Asia",,https://www.xflowpay.com,XFlow,https://www.crunchbase.com/organization/xflow-4961
Seed Round - elba,https://www.crunchbase.com/funding_round/elba-fc93-seed--0dd4f54e,Seed,2500000,EUR,2671725,2023-06-06,8,1,Elba is the ultimate experience for securing your team's day-to-day operations.,"Cyber Security, SaaS","Paris, Ile-de-France, France, Europe",,https://www.elba.security/,elba,https://www.crunchbase.com/organization/elba-fc93
Seed Round - Contextual AI,https://www.crunchbase.com/funding_round/contextual-ai-seed--ae910292,Seed,20000000,USD,20000000,2023-06-07,12,1,Contextual AI offers a pioneering approach to generative AI for the workplace.,"Artificial Intelligence, Software",,,https://contextual.ai/,Contextual AI,https://www.crunchbase.com/organization/contextual-ai
Seed Round - Escape,https://www.crunchbase.com/funding_round/escape-b74e-seed--d9bb0644,Seed,3600000,EUR,3847284,2023-06-06,8,3,Escape provides dynamic application security testing for GraphQL APIs.,"Cyber Security, Developer Tools, SaaS, Software","Paris, Ile-de-France, France, Europe",,https://escape.tech,Escape,https://www.crunchbase.com/organization/escape-b74e
Seed Round - Newtrace,https://www.crunchbase.com/funding_round/newtrace-seed--18a33dda,Seed,467000000,INR,5647087,2023-05-31,6,2,Newtrace develops novel electrolyzers for affordable green hydrogen production at scale.,"CleanTech, Energy","Bengaluru, Karnataka, India, Asia",$1M to $10M,https://www.newtrace.io/,Newtrace,https://www.crunchbase.com/organization/newtrace
Seed Round - Termii,https://www.crunchbase.com/funding_round/termii-networks-seed--59de671b,Seed,3650000,USD,3650000,2023-06-09,17,6,"Termii helps African businesses communicate with customers across SMS, email, voice, and instant messaging channels.","Digital Marketing, Digital Media, Email Marketing, Marketing Automation, Messaging, SMS","New Lagos, Lagos, Nigeria, Africa",,https://termii.com,Termii,https://www.crunchbase.com/organization/termii-networks
Seed Round - Azteco,https://www.crunchbase.com/funding_round/azteco-seed--e06e25e4,Seed,6000000,USD,6000000,2023-05-18,9,3,Azteco is a consumer Bitcoin platform that provides Bitcoin vouchers for global financial transactions.,"Bitcoin, Consumer Software, E-Commerce, FinTech, Retail","Santa Monica, California, United States, North America",,https://azte.co,Azteco,https://www.crunchbase.com/organization/azteco
Seed Round - PharmEnable,https://www.crunchbase.com/funding_round/pharmenable-seed--25e4575f,Seed,6000000,GBP,7460366,2023-05-22,9,4,PharmEnable has developed a rapid and cost effective way to identify better chemical starting points to drive the discovery.,"Biotechnology, Life Science, Medical, Pharmaceutical","Cambridge, Cambridgeshire, United Kingdom, Europe",,http://www.pharmenable.com,PharmEnable,https://www.crunchbase.com/organization/pharmenable
Seed Round - Argus Labs,https://www.crunchbase.com/funding_round/argus-labs-f4d7-seed--c340e567,Seed,10000000,USD,10000000,2023-06-06,12,1,Argus Labs works from first principles to synthesize bleeding-edge applied research with thoughtful game design.,"Blockchain, Gaming, Information Technology, Video Games","San Francisco, California, United States, North America",,https://argus.gg/,Argus Labs,https://www.crunchbase.com/organization/argus-labs-f4d7
Pre Seed Round - Klearly,https://www.crunchbase.com/funding_round/klearly-8e67-pre-seed--ef99b973,Pre-Seed,2100000,EUR,2242415,2023-05-31,2,1,Klearly simplifies payment acceptance for small and medium-sized businesses by transforming smartphones and tablets into secure payment.,"Credit Cards, Financial Services","Amsterdam, Noord-Holland, The Netherlands, Europe",,https://klearly.nl,Klearly,https://www.crunchbase.com/organization/klearly-8e67
Seed Round - Realta Fusion,https://www.crunchbase.com/funding_round/realta-fusion-seed--3d23d5b5,Seed,9000000,USD,9000000,2023-05-31,2,2,Realta Fusion develops fusion energy technology for the production of industrial heat and power.,"Energy, Energy Efficiency, Industrial","Madison, Wisconsin, United States, North America",,https://realtafusion.com/,Realta Fusion,https://www.crunchbase.com/organization/realta-fusion
Seed Round - Spektra Games,https://www.crunchbase.com/funding_round/spektra-games-seed--feda5e81,Seed,1250000,USD,1250000,2023-06-05,3,1,We create the most realistic simulation/racing games for mobile!,"Casual Games, Gaming","Istanbul, Istanbul, Turkey, Europe",,https://spektra.games/,Spektra Games,https://www.crunchbase.com/organization/spektra-games
Pre Seed Round - CUR8,https://www.crunchbase.com/funding_round/cur8-b259-pre-seed--886839b5,Pre-Seed,5300000,GBP,6544825,2023-05-30,6,1,CUR8 is committed to establishing a global market for carbon reductions.,"Biomass Energy, Environmental Consulting, Natural Resources","London, England, United Kingdom, Europe",,http://cur8.earth,CUR8,https://www.crunchbase.com/organization/cur8-b259
Seed Round - Thena,https://www.crunchbase.com/funding_round/thena-c57f-seed--c0ea57ae,Seed,5000000,USD,5000000,2023-05-24,3,2,Thena is a customer communication platform built for the modern teams and businesses.,Software,"Palo Alto, California, United States, North America",,http://www.thena.ai,Thena,https://www.crunchbase.com/organization/thena-c57f
Seed Round - Nory AI,https://www.crunchbase.com/funding_round/skueeze-seed--0a9422cf,Seed,7000000,EUR,7586595,2023-05-17,5,6,Meet the future of restaurant management.,"Hospitality, Information Technology, Restaurants","Dublin, Dublin, Ireland, Europe",$1M to $10M,https://nory.ai,Nory AI,https://www.crunchbase.com/organization/skueeze
Seed Round - Lens Protocol,https://www.crunchbase.com/funding_round/lens-protocol-seed--ff0cc0a4,Seed,15000000,USD,15000000,2023-06-08,22,1,Lens Protocol is a composable and decentralized social network serving the Web3 community.,"Apps, Data Integration, Social Network","George Town, Midland, Cayman Islands, North America",,https://www.lens.xyz,Lens Protocol,https://www.crunchbase.com/organization/lens-protocol
Seed Round - Tan90,https://www.crunchbase.com/funding_round/tan90-seed--d72c55fc,Seed,113200000,INR,1368844,2023-05-31,3,2,Tan90 is to democratize cold storage logistics and make the service penetrate the lower echelon of the supply chain.,"Energy Efficiency, Energy Management","Chennai, Tamil Nadu, India, Asia",,http://www.tan90thermal.com,Tan90,https://www.crunchbase.com/organization/tan90
Seed Round - Vectara,https://www.crunchbase.com/funding_round/vectara-seed--0b3b83d0,Seed,28500000,USD,28500000,2023-05-30,7,2,Vectara is a GenAI Conversational Search Platform,,"Palo Alto, California, United States, North America",,https://vectara.com,Vectara,https://www.crunchbase.com/organization/vectara
Pre Seed Round - Minoa,https://www.crunchbase.com/funding_round/minoa-pre-seed--a153b829,Pre-Seed,2500000,EUR,2692369,2023-05-23,8,1,Minoa is a collaborative value management tool that assists SaaS companies in selling value over the whole client lifecycle.,"B2B, Information Technology, SaaS, Software","San Francisco, California, United States, North America",,https://www.minoa.io,Minoa,https://www.crunchbase.com/organization/minoa
Seed Round - Haul247,https://www.crunchbase.com/funding_round/haul247-seed--06490d29,Seed,3000000,USD,3000000,2023-06-08,1,3,Haul247 is an API platform that connects businesses to logistics assets.,"Information Technology, Logistics, Mobile Apps, Software, Warehousing","Lagos, Lagos, Nigeria, Africa",,https://www.haul247.co,Haul247,https://www.crunchbase.com/organization/haul247
Seed Round - Riverse,https://www.crunchbase.com/funding_round/riverse-seed--7b92ac93,Seed,1500000,EUR,1605517,2023-06-01,7,2,Riverse enables efficient and transparent carboncredit markets in Europe.,"Environmental Engineering, GreenTech, Manufacturing","Lyon, Rhone-Alpes, France, Europe",,https://www.riverse.io,Riverse,https://www.crunchbase.com/organization/riverse
Seed Round - Hypervision Surgical,https://www.crunchbase.com/funding_round/hypervision-surgical-seed--a8cfded8,Seed,6500000,GBP,8105243,2023-06-01,4,2,"Making surgeries more precise, safer and faster. Guiding the future of surgery using AI-powered hyperspectral imaging.","Artificial Intelligence, Health Care, Machine Learning, Medical Device","London, England, United Kingdom, Europe",,https://hypervisionsurgical.com/,Hypervision Surgical,https://www.crunchbase.com/organization/hypervision-surgical
