Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - Hippocratic AI,https://www.crunchbase.com/funding_round/hippocratic-ai-seed--23b8eb08,Seed,50000000,USD,50000000,2023-05-16,2,1,Hippocratic AI is a technology startup that develops artificial health general intelligence (HGI).,"Artificial Intelligence, Health Care, Information Technology","California, Maryland, United States, North America",,https://www.hippocraticai.com,Hippocratic AI,https://www.crunchbase.com/organization/hippocratic-ai,"Andreessen Horowitz, General Catalyst"
Seed Round - PYOR,https://www.crunchbase.com/funding_round/pyor-seed--7c8cd58d,Seed,330000000,INR,3989104,2023-05-18,8,1,PYOR has extensive expertise building in crypto and has played major roles in the creation of several large Indian unicorns.,"Blockchain, Cryptocurrency","Bangalore, Karnataka, India, Asia",,https://www.pyor.xyz,PYOR,https://www.crunchbase.com/organization/pyor,"Antler, Balaji Srinivasan, Castle Island Ventures, Coinbase Ventures, CoinSwitch, Force Ventures, Future\Perfect Ventures, Hash3"
Seed Round - Azteco,https://www.crunchbase.com/funding_round/azteco-seed--e06e25e4,Seed,6000000,USD,6000000,2023-05-18,9,3,Azteco is a consumer Bitcoin platform that provides Bitcoin vouchers for global financial transactions.,"Bitcoin, Consumer Software, E-Commerce, FinTech, Retail","Santa Monica, California, United States, North America",,https://azte.co,Azteco,https://www.crunchbase.com/organization/azteco,"Aleka Capital, David Van Der Weele, Gaingels, Hivemind Ventures, Jack Dorsey, Lightning Ventures, Ride Wave Ventures, Sunil Rajaraman, Visary Capital"
Seed Round - PharmEnable,https://www.crunchbase.com/funding_round/pharmenable-seed--25e4575f,Seed,6000000,GBP,7460366,2023-05-22,9,4,PharmEnable has developed a rapid and cost effective way to identify better chemical starting points to drive the discovery.,"Biotechnology, Life Science, Medical, Pharmaceutical","Cambridge, Cambridgeshire, United Kingdom, Europe",,http://www.pharmenable.com,PharmEnable,https://www.crunchbase.com/organization/pharmenable,"Arrowfield Capital, Heyford Trust, Jonathan Milner, Martlet Capital, MP Healthcare Venture Management, O2h Ventures, Parkwalk Advisors, University of Cambridge Enterprise, Wren Capital"
Seed Round - Thena,https://www.crunchbase.com/funding_round/thena-c57f-seed--c0ea57ae,Seed,5000000,USD,5000000,2023-05-24,3,2,Thena is a customer communication platform built for the modern teams and businesses.,Software,"Palo Alto, California, United States, North America",,http://www.thena.ai,Thena,https://www.crunchbase.com/organization/thena-c57f,"First Round Capital, Lightspeed Venture Partners, Pear VC"
Seed Round - Nory AI,https://www.crunchbase.com/funding_round/skueeze-seed--0a9422cf,Seed,7000000,EUR,7586595,2023-05-17,5,6,Meet the future of restaurant management.,"Hospitality, Information Technology, Restaurants","Dublin, Dublin, Ireland, Europe",$1M to $10M,https://nory.ai,Nory AI,https://www.crunchbase.com/organization/skueeze,"Cavalry Ventures, CircleRock Capital, Playfair Capital, Samaipata, Triple Point Ventures"
Seed Round - SkorLife,https://www.crunchbase.com/funding_round/skorlife-9485-seed--e96ef510,Seed,4000000,USD,4000000,2023-05-24,4,2,SkorLife Platforms provides credit history or credit score.,"Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia, Asia",,https://skorlife.com/en,SkorLife,https://www.crunchbase.com/organization/skorlife-9485,"AC Ventures, Hummingbird Ventures, QED Investors, Saison Capital"
Pre Seed Round - Minoa,https://www.crunchbase.com/funding_round/minoa-pre-seed--a153b829,Pre-Seed,2500000,EUR,2692369,2023-05-23,8,1,Minoa is a collaborative value management tool that assists SaaS companies in selling value over the whole client lifecycle.,"B2B, Information Technology, SaaS, Software","San Francisco, California, United States, North America",,https://www.minoa.io,Minoa,https://www.crunchbase.com/organization/minoa,"468 Capital, AirAngels, Alumni Ventures, FiDi Ventures, Lenny Rachitsky, Mathilde Collin, Mischief, Russ Heddleston"
Pre Seed Round - Num Finance,https://www.crunchbase.com/funding_round/num-finance-pre-seed--968d0feb,Pre-Seed,1500000,USD,1500000,2023-05-23,5,1,"Yields, Loans and Digital Assets at one-click","Cryptocurrency, Financial Services","Buenos Aires, Distrito Federal, Argentina, South America",,https://num.finance,Num Finance,https://www.crunchbase.com/organization/num-finance,"H2O Scouter Fund, Matias Woloski, Reserve, Ripio Ventures, VC3 DAO"
Pre Seed Round - Amini,https://www.crunchbase.com/funding_round/amini-f36a-pre-seed--f5cd1e39,Pre-Seed,2000000,USD,2000000,2023-05-18,5,1,Amini is a climate tech business that uses artificial intelligence and satellite technology to bridge Africa's environmental data.,"Aerospace, Artificial Intelligence, Geospatial, Machine Learning, Software",,,https://www.amini.ai,Amini,https://www.crunchbase.com/organization/amini-f36a,"Emurgo ventures, Pale Blue Dot, RaliCap, Superorganism, W3i Fund"
