Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Pre Seed Round - Proxima Fusion,https://www.crunchbase.com/funding_round/proxima-fusion-pre-seed--10c072b7,Pre-Seed,7000000,EUR,7506227,2023-05-30,4,1,Proxima Fusion creates new types of power plants using stellarators that optimised to create magnetic cages for high-energy particles.,"Energy, Power Grid","Munich, Bayern, Germany, Europe",,https://www.proximafusion.com/,Proxima Fusion,https://www.crunchbase.com/organization/proxima-fusion
Pre Seed Round - CUR8,https://www.crunchbase.com/funding_round/cur8-b259-pre-seed--886839b5,Pre-Seed,5300000,GBP,6544825,2023-05-30,6,1,CUR8 is committed to establishing a global market for carbon reductions.,"Biomass Energy, Environmental Consulting, Natural Resources","London, England, United Kingdom, Europe",,http://cur8.earth,CUR8,https://www.crunchbase.com/organization/cur8-b259
Seed Round - Newtrace,https://www.crunchbase.com/funding_round/newtrace-seed--18a33dda,Seed,467000000,INR,5647087,2023-05-31,6,2,Newtrace develops novel electrolyzers for affordable green hydrogen production at scale.,"CleanTech, Energy","Bengaluru, Karnataka, India, Asia",$1M to $10M,https://www.newtrace.io/,Newtrace,https://www.crunchbase.com/organization/newtrace
Seed Round - Realta Fusion,https://www.crunchbase.com/funding_round/realta-fusion-seed--3d23d5b5,Seed,9000000,USD,9000000,2023-05-31,2,2,Realta Fusion develops fusion energy technology for the production of industrial heat and power.,"Energy, Energy Efficiency, Industrial","Madison, Wisconsin, United States, North America",,https://realtafusion.com/,Realta Fusion,https://www.crunchbase.com/organization/realta-fusion
Seed Round - Tan90,https://www.crunchbase.com/funding_round/tan90-seed--d72c55fc,Seed,113200000,INR,1368844,2023-05-31,3,2,Tan90 is to democratize cold storage logistics and make the service penetrate the lower echelon of the supply chain.,"Energy Efficiency, Energy Management","Chennai, Tamil Nadu, India, Asia",,http://www.tan90thermal.com,Tan90,https://www.crunchbase.com/organization/tan90
Seed Round - Guorui Xiechuang,https://www.crunchbase.com/funding_round/guorui-xiechuang-seed--b8c6a130,Seed,100000000,CNY,14126488,2023-05-25,2,1,Guorui Xiechuang is a high-tech enterprise that provides power + energy storage products and solutions for global customers.,"Energy, Energy Storage","Shenzhen, Guangdong, China, Asia",,http://www.grnewenergy.com/,Guorui Xiechuang,https://www.crunchbase.com/organization/guorui-xiechuang
Seed Round - Stride,https://www.crunchbase.com/funding_round/stride-4dbe-seed--dfe3f0c6,Seed,2000000,USD,2000000,2023-05-24,2,1,Stride is an innovative renewable energy firm to advance a sustainable future by providing solar energy and eco-friendly home renovation.,"Renewable Energy, Smart Home, Solar","Ho Chi Minh City, NA - Vietnam, Vietnam, Asia",,https://www.stride.vn/en,Stride,https://www.crunchbase.com/organization/stride-4dbe
Seed Round - Vensum Power,https://www.crunchbase.com/funding_round/vensum-power-seed--6f61304a,Seed,2100000,EUR,2253581,2023-05-26,4,2,Next big leap in power conversion efficiency,"Energy, Renewable Energy",,,https://www.vensumpower.com/,Vensum Power,https://www.crunchbase.com/organization/vensum-power
Seed Round - G.O.A.T. Fuel,https://www.crunchbase.com/funding_round/g-o-a-t-fuel-seed--0ab8f2c0,Seed,5000000,USD,5000000,2023-05-24,2,4,G.O.A.T. Fuel develops and promotes health-forward products.,"Consumer Goods, Energy, Fitness, Food and Beverage, Personal Health","Plano, Texas, United States, North America",,https://goatfuel.com/,G.O.A.T. Fuel,https://www.crunchbase.com/organization/g-o-a-t-fuel
Pre Seed Round - TRL11,https://www.crunchbase.com/funding_round/trl11-pre-seed--1005838b,Pre-Seed,3000000,USD,3000000,2023-05-23,6,1,TRL11 is an aviation and aerospace component manufacturing company that provides next-generation technology solutions for the space economy.,"Aerospace, Battery, Manufacturing, Sensor","Los Angeles, California, United States, North America",$1M to $10M,https://www.trl11.com/,TRL11,https://www.crunchbase.com/organization/trl11
