Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - LaundryMate,https://www.crunchbase.com/funding_round/laundrymate-3162-seed--d85c6145,Seed,500000000,INR,6052092,2023-05-29,5,1,LaundryMate provides laundry services that allows people to spend time doing activities rather than worrying about washing.,"Customer Service, Laundry and Dry-cleaning, Service Industry","Bengaluru, Karnataka, India, Asia",,https://www.laundrymate.in,LaundryMate,https://www.crunchbase.com/organization/laundrymate-3162
Pre Seed Round - Swoperz,https://www.crunchbase.com/funding_round/swoperz-pre-seed--53bb5fc0,Pre-Seed,250000,GBP,313872,2023-06-08,1,1,Swoperz is a marketplace for used children's apparel.,"Children, Fashion, Retail","London, England, United Kingdom, Europe",,https://swoperz.com/,Swoperz,https://www.crunchbase.com/organization/swoperz
Seed Round - Lynens,https://www.crunchbase.com/funding_round/lynens-seed--4a4a043e,Seed,,,,2023-05-31,1,1,Lynens a supervisor in charge of a laundry and rental service for lodging companies such as hotels and motels.,"B2B, Customer Service, Laundry and Dry-cleaning","Seongnam, Kyonggi-do, South Korea, Asia",,https://lynens.kr,Lynens,https://www.crunchbase.com/organization/lynens
Seed Round - Codimi,https://www.crunchbase.com/funding_round/codimi-seed--af85594f,Seed,,,,2023-05-30,1,1,Codimi is a virtual try-on fashion styling platform for shopping.,"E-Commerce, Fashion, Mobile Apps, Shopping","Kangnam, Cholla-namdo, South Korea, Asia",,https://codime.io,Codimi,https://www.crunchbase.com/organization/codimi
Pre Seed Round - Cress,https://www.crunchbase.com/funding_round/cress-67d1-pre-seed--6a1a99db,Pre-Seed,150000,GBP,186538,2023-06-07,,1,Cress is a new online marketplace focused to buying and selling gently used children's apparel.,"Fashion, Marketplace, Textiles","Manchester, Manchester, United Kingdom, Europe",,https://www.wearecress.com/,Cress,https://www.crunchbase.com/organization/cress-67d1
Seed Round - U.mode,https://www.crunchbase.com/funding_round/u-mode-seed--0747e72d,Seed,2700000,BRL,543708,2023-05-18,2,1,U.mode is one of the fashion companies in the process of digital transformation.,"Email, Fashion, Information Technology, Lifestyle, Retail Technology","São Paulo, Sao Paulo, Brazil, South America",$1M to $10M,https://umode.com.br,U.mode,https://www.crunchbase.com/organization/u-mode
Pre Seed Round - Shop Zetu,https://www.crunchbase.com/funding_round/shop-zetu-pre-seed--ae21c660,Pre-Seed,1000000,USD,1000000,2023-06-01,3,1,ShopZetu is a fashion technology company that powers online fashion retail in Africa,"E-Commerce, Fashion, Information Services","Nairobi, Nairobi Area, Kenya, Africa",$1M to $10M,https://shopzetu.com/,Shop Zetu,https://www.crunchbase.com/organization/shop-zetu
Pre Seed Round - CleaningCompany.AE,https://www.crunchbase.com/funding_round/cleaningcompany-ae-pre-seed--05452c1b,Pre-Seed,100000,USD,100000,2023-05-20,,1,One stop for all cleaning needs,"Home Improvement, Home Services, Laundry and Dry-cleaning",,,https://www.cleaningcompany.ae/,CleaningCompany.AE,https://www.crunchbase.com/organization/cleaningcompany-ae
Pre Seed Round - Pattern Project,https://www.crunchbase.com/funding_round/pattern-project-pre-seed--dc5c3968,Pre-Seed,,,,2023-06-01,1,2,"Pattern Project designs, manufacture, sells customized clothing, apparels and fashion products.","Fashion, Manufacturing, Retail, Textiles","West Dulwich, Greenwich, United Kingdom, Europe",,https://www.pattern-project.com/,Pattern Project,https://www.crunchbase.com/organization/pattern-project
Seed Round - Hurthado,https://www.crunchbase.com/funding_round/hurthado-seed--fba0d227,Seed,,,,2023-06-02,,1,Hurthado is a Made-to-Order clothing brand. All clothes are designed and handmade on demand.,"E-Commerce, Fashion","Madrid, Madrid, Spain, Europe",,http://www.hurthado.com,Hurthado,https://www.crunchbase.com/organization/hurthado
Seed Round - Fashion Bomb Daily,https://www.crunchbase.com/funding_round/fashion-bomb-daily-seed--158c7812,Seed,500000,USD,500000,2023-06-07,,2,"Fashion Bomb Daily is a platform for fashion-related activities such as shopping, blogging, and much more.","Fashion, Media and Entertainment, News","Markham, Ontario, Canada, North America",,https://fashionbombdaily.com/,Fashion Bomb Daily,https://www.crunchbase.com/organization/fashion-bomb-daily
Seed Round - Mamalux,https://www.crunchbase.com/funding_round/mamalux-seed--250c6f08,Seed,50000,USD,50000,2023-06-15,1,2,"Mamalux makes game-changing, leakproof apparel for maternity & breastfeeding","E-Commerce, Fashion, Product Design, Retail","Pittsburgh, Pennsylvania, United States, North America",,https://wearmamalux.com/,Mamalux,https://www.crunchbase.com/organization/mamalux
Pre Seed Round - Arda Biomaterials,https://www.crunchbase.com/funding_round/arda-biomaterials-pre-seed--306496af,Pre-Seed,1100000,GBP,1384837,2023-06-12,4,1,"Arda Biomaterials transforms waste feedstocks into smarter, circular biomaterials for fashion, home goods, automotive and more.",Fashion,"Southwark, Southwark, United Kingdom, Europe",,https://www.arda.bio,Arda Biomaterials,https://www.crunchbase.com/organization/arda-biomaterials
Pre Seed Round - Lemonade,https://www.crunchbase.com/funding_round/lemonade-87c6-pre-seed--45b8a16f,Pre-Seed,,,,2023-06-08,1,1,Lemonade is a marketplace brand that sells luxury goods at reasonable costs.,"Fashion, Internet","New Delhi, Delhi, India, Asia",,https://lemonade.shop,Lemonade,https://www.crunchbase.com/organization/lemonade-87c6
