Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Meanwhile,https://www.crunchbase.com/funding_round/meanwhile-3fc0-seed--35b6a809,Seed,19000000,USD,19000000,2023-06-06,32,1,Meanwhile is a licensed and regulated life insurance business.,"Financial Services, Insurance","Hamilton, Ontario, Canada, North America",,https://meanwhile.bm/,Meanwhile,https://www.crunchbase.com/organization/meanwhile-3fc0
Seed Round - PYOR,https://www.crunchbase.com/funding_round/pyor-seed--7c8cd58d,Seed,330000000,INR,3989104,2023-05-18,8,1,PYOR has extensive expertise building in crypto and has played major roles in the creation of several large Indian unicorns.,"Blockchain, Cryptocurrency","Bangalore, Karnataka, India, Asia",,https://www.pyor.xyz,PYOR,https://www.crunchbase.com/organization/pyor
Seed Round - XFlow,https://www.crunchbase.com/funding_round/xflow-4961-seed--ffe15efd,Seed,10200000,USD,10200000,2023-05-25,4,2,XFlow is a fintech company that provides cross-border payments infrastructure.,"Finance, FinTech, Payments, Software","Bangalore, Karnataka, India, Asia",,https://www.xflowpay.com,XFlow,https://www.crunchbase.com/organization/xflow-4961
Seed Round - Azteco,https://www.crunchbase.com/funding_round/azteco-seed--e06e25e4,Seed,6000000,USD,6000000,2023-05-18,9,3,Azteco is a consumer Bitcoin platform that provides Bitcoin vouchers for global financial transactions.,"Bitcoin, Consumer Software, E-Commerce, FinTech, Retail","Santa Monica, California, United States, North America",,https://azte.co,Azteco,https://www.crunchbase.com/organization/azteco
Seed Round - Payrails,https://www.crunchbase.com/funding_round/payrails-seed--0b3b90f1,Seed,14400000,USD,14400000,2023-06-07,4,2,Payrails enables high-growth companies to craft their payment experiences and financial services globally.,"Developer APIs, Enterprise Software, Financial Services, FinTech, Mobile Payments, Payments","Berlin, Berlin, Germany, Europe",Less than $1M,https://www.payrails.com,Payrails,https://www.crunchbase.com/organization/payrails
Pre Seed Round - Klearly,https://www.crunchbase.com/funding_round/klearly-8e67-pre-seed--ef99b973,Pre-Seed,2100000,EUR,2242415,2023-05-31,2,1,Klearly simplifies payment acceptance for small and medium-sized businesses by transforming smartphones and tablets into secure payment.,"Credit Cards, Financial Services","Amsterdam, Noord-Holland, The Netherlands, Europe",,https://klearly.nl,Klearly,https://www.crunchbase.com/organization/klearly-8e67
Pre Seed Round - Num Finance,https://www.crunchbase.com/funding_round/num-finance-pre-seed--968d0feb,Pre-Seed,1500000,USD,1500000,2023-05-23,5,1,"Yields, Loans and Digital Assets at one-click","Cryptocurrency, Financial Services","Buenos Aires, Distrito Federal, Argentina, South America",,https://num.finance,Num Finance,https://www.crunchbase.com/organization/num-finance
Seed Round - Kiwi,https://www.crunchbase.com/funding_round/kiwi-e877-seed--1100653d,Seed,4500000,USD,4500000,2023-05-22,3,4,Kiwi helps Latinos by providing tools and resources to establish credit and secure access to capital.,"Financial Services, FinTech, Lending, Mobile Apps, Personal Finance","San Juan, NA - Puerto Rico, Puerto Rico, North America",,https://www.kiwicredito.com,Kiwi,https://www.crunchbase.com/organization/kiwi-e877
Pre Seed Round - Plenty,https://www.crunchbase.com/funding_round/plenty-546a-pre-seed--32532e2b,Pre-Seed,2750000,USD,2750000,2023-05-23,10,1,Plenty is building the future of collaborative wealth building.,"Financial Services, FinTech, Funding Platform, Wealth Management","San Francisco, California, United States, North America",,http://www.withplenty.com,Plenty,https://www.crunchbase.com/organization/plenty-546a
Seed Round - SkorLife,https://www.crunchbase.com/funding_round/skorlife-9485-seed--e96ef510,Seed,4000000,USD,4000000,2023-05-24,4,2,SkorLife Platforms provides credit history or credit score.,"Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia, Asia",,https://skorlife.com/en,SkorLife,https://www.crunchbase.com/organization/skorlife-9485
Seed Round - Ringkas,https://www.crunchbase.com/funding_round/ringkas-seed--157d2924,Seed,3500000,USD,3500000,2023-05-31,6,2,Ringkas offers a mortgage application platform that digitalizes the mortgage process.,"Financial Services, FinTech, Real Estate","Jakarta, Jakarta Raya, Indonesia, Asia",,https://ringkas.co.id,Ringkas,https://www.crunchbase.com/organization/ringkas
Pre Seed Round - Zofi Cash,https://www.crunchbase.com/funding_round/zofi-cash-pre-seed--eb7efa55,Pre-Seed,1000000,USD,1000000,2023-05-29,1,3,Zofi Cash is a digital financial platform that seeks to revolutionize how and when salaried people get paid.,"Financial Services, FinTech","Kampala, Kampala, Uganda, Africa",,https://www.zoficash.com/,Zofi Cash,https://www.crunchbase.com/organization/zofi-cash
Seed Round - KarmaLifeAI,https://www.crunchbase.com/funding_round/karmalifeai-seed--a7d9eb0f,Seed,440000000,INR,5336881,2023-06-01,9,4,KarmaLifeAI is a digital solution for the financial well being of blue-collar gig workers and micro-business.,"Artificial Intelligence, Finance, Financial Services, FinTech","Bangalore, Karnataka, India, Asia",,https://karmalife.ai/,KarmaLifeAI,https://www.crunchbase.com/organization/karmalifeai
Seed Round - Kilde,https://www.crunchbase.com/funding_round/kilde-financial-technologies-seed--34cc7e24,Seed,1115000,USD,1115000,2023-06-05,4,4,Kilde is a global private debt investment platform that raises capital for alternative lenders.,"Financial Services, FinTech, Funding Platform, Lending","Singapore, Central Region, Singapore, Asia",,https://kilde.sg/,Kilde,https://www.crunchbase.com/organization/kilde-financial-technologies
Seed Round - TradingLeagues,https://www.crunchbase.com/funding_round/tradingleagues-seed--7dd2bf54,Seed,3500000,USD,3500000,2023-06-07,3,1,"TradingLeagues, is a stock market game platform providing different types of games. You can practice trading by playing stock market games.","Education, Finance, Online Games","Bangalore, Karnataka, India, Asia",,https://www.tradingleagues.in/,TradingLeagues,https://www.crunchbase.com/organization/tradingleagues
Pre Seed Round - AMLYZE,https://www.crunchbase.com/funding_round/amlyze-pre-seed--fdbb5f0f,Pre-Seed,1000000,USD,1000000,2023-05-18,2,1,Automated Transaction Monitoring & Risk Assessment Solutions,"Compliance, Financial Services, Risk Management, Software","Vilnius, Vilniaus Apskritis, Lithuania, Europe",,https://www.amlyze.com/,AMLYZE,https://www.crunchbase.com/organization/amlyze
Seed Round - BharatNXT,https://www.crunchbase.com/funding_round/bharatnxt-seed--55c246cb,Seed,1200000,USD,1200000,2023-06-01,4,1,BharatNXT is a B2B fintech platform.,"Financial Services, FinTech, Payments","Ghatkopar, Maharashtra, India, Asia",,https://bharatnxt.in,BharatNXT,https://www.crunchbase.com/organization/bharatnxt
Seed Round - Ulipsu,https://www.crunchbase.com/funding_round/ulipsu-seed--cc24888b,Seed,2975000,USD,2975000,2023-05-24,,4,Ulipsu is the first multi-skill learning platform.,"E-Learning, Trading Platform","Bengaluru, Karnataka, India, Asia",,https://ulipsu.com/,Ulipsu,https://www.crunchbase.com/organization/ulipsu
Seed Round - Onyx Private,https://www.crunchbase.com/funding_round/onyx-card-seed--cb2a5d90,Seed,4100000,USD,4100000,2023-05-22,6,2,Onyx is a modern private bank for the new generation,"Banking, Financial Services, FinTech, Payments","Miami, Florida, United States, North America",,https://onyxprivate.com,Onyx Private,https://www.crunchbase.com/organization/onyx-card
Seed Round - Vottun,https://www.crunchbase.com/funding_round/vottun-seed--e6b2eb2e,Seed,200000,EUR,214511,2023-05-25,1,4,Vottun is a platform that certify and track data for optmizing business processes using blockchain and DLT technology.,"Artificial Intelligence, B2B, Blockchain, Cryptocurrency, Ethereum, Information Technology, Machine Learning, Software, Supply Chain Management","Barcelona, Catalonia, Spain, Europe",$1M to $10M,https://www.vottun.com/,Vottun,https://www.crunchbase.com/organization/vottun
Seed Round - Capital Setu,https://www.crunchbase.com/funding_round/capital-setu-seed--ad1dcb80,Seed,28000000,INR,339595,2023-05-17,5,1,We make supply chain financing accessible to MSME and Non-MSME Corporates.,"Finance, Financial Services, FinTech","Noida, Uttar Pradesh, India, Asia",,https://capitalsetu.com,Capital Setu,https://www.crunchbase.com/organization/capital-setu
Seed Round - HackerNoon,https://www.crunchbase.com/funding_round/hackernoon-seed--7a842027,Seed,250000,USD,250000,2023-05-15,1,3,HackerNoon publishes technology stories and builds publishing software.,"Cryptocurrency, Education, Information Technology, Publishing","Edwards, Colorado, United States, North America",,https://hackernoon.com,HackerNoon,https://www.crunchbase.com/organization/hackernoon
Seed Round - Trébol,https://www.crunchbase.com/funding_round/trébol-seed--20dec0ef,Seed,3000000,USD,3000000,2023-05-24,5,2,"Business onboarding automation for banks, lenders, and insurers in Latin America",Financial Services,"Bogotá, Distrito Especial, Colombia, South America",,https://www.gotrebol.com/,Trébol,https://www.crunchbase.com/organization/trébol
Seed Round - OneView,https://www.crunchbase.com/funding_round/oneview-834b-seed--d37c292b,Seed,4000000,USD,4000000,2023-06-07,3,1,OneView revolutionise bill payments by transforming the interaction between consumers and senders.,"Information Technology, Internet, Payments","Singapore, Central Region, Singapore, Asia",,https://oneview.sg,OneView,https://www.crunchbase.com/organization/oneview-834b
Seed Round - Keeta,https://www.crunchbase.com/funding_round/keeta-seed--1a31c362,Seed,17000000,USD,17000000,2023-06-06,2,1,Keeta is a global payments platform that safely transfers money.,"Finance, Financial Services, Payments","Santa Monica, California, United States, North America",,https://www.keeta.com/,Keeta,https://www.crunchbase.com/organization/keeta
Seed Round - Metalex Commodities,https://www.crunchbase.com/funding_round/metalex-commodities-seed--f9b9ffd1,Seed,2000000,USD,2000000,2023-05-26,1,3,Metalex Commodities is a commodity trading company that specializes in the export of metal ores and concentrates.,"Precious Metals, Trading Platform","Houston, Texas, United States, North America",,https://metalex.africa,Metalex Commodities,https://www.crunchbase.com/organization/metalex-commodities
Seed Round - Outmin,https://www.crunchbase.com/funding_round/outmin-seed--9e50691d,Seed,2000000,EUR,2139369,2023-06-04,3,3,"Outmin, a real-time accounting solution for SME","Financial Services, Software","Dublin, Dublin, Ireland, Europe",,https://outmin.io/,Outmin,https://www.crunchbase.com/organization/outmin
Seed Round - Connectifi,https://www.crunchbase.com/funding_round/connectifi-seed--71ac7fe5,Seed,3400000,USD,3400000,2023-06-06,2,1,Connectifi is a fintech that ensures seamless interoperability among all financial service applications across various devices.,"FinTech, Information Technology, Software","Montclair, New Jersey, United States, North America",,https://www.connectifi.co/,Connectifi,https://www.crunchbase.com/organization/connectifi
Seed Round - Houdini Swap,https://www.crunchbase.com/funding_round/houdini-swap-seed--cecef1ea,Seed,250000,USD,250000,2023-05-22,1,1,Houdini Swap uses Monero as a tunnel between different liquidity partners to anonymize blockchain transactions.,"Blockchain, Cryptocurrency","St Louis, Missouri, United States, North America",,https://houdiniswap.com,Houdini Swap,https://www.crunchbase.com/organization/houdini-swap
Pre Seed Round - YOLO,https://www.crunchbase.com/funding_round/yolo-8bad-pre-seed--26418cfb,Pre-Seed,,,,2023-06-01,2,1,YOLO is a subscription based prepaid card for teens and corporates.,"Financial Services, FinTech","Noida, Uttar Pradesh, India, Asia",,https://getyolo.in/,YOLO,https://www.crunchbase.com/organization/yolo-8bad
