Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Lens Protocol,https://www.crunchbase.com/funding_round/lens-protocol-seed--ff0cc0a4,Seed,15000000,USD,15000000,2023-06-08,22,1,Lens Protocol is a composable and decentralized social network serving the Web3 community.,"Apps, Data Integration, Social Network","George Town, Midland, Cayman Islands, North America",,https://www.lens.xyz,Lens Protocol,https://www.crunchbase.com/organization/lens-protocol
Seed Round - Kiwi,https://www.crunchbase.com/funding_round/kiwi-e877-seed--1100653d,Seed,4500000,USD,4500000,2023-05-22,3,4,Kiwi helps Latinos by providing tools and resources to establish credit and secure access to capital.,"Financial Services, FinTech, Lending, Mobile Apps, Personal Finance","San Juan, NA - Puerto Rico, Puerto Rico, North America",,https://www.kiwicredito.com,Kiwi,https://www.crunchbase.com/organization/kiwi-e877
Seed Round - Haul247,https://www.crunchbase.com/funding_round/haul247-seed--06490d29,Seed,3000000,USD,3000000,2023-06-08,1,3,Haul247 is an API platform that connects businesses to logistics assets.,"Information Technology, Logistics, Mobile Apps, Software, Warehousing","Lagos, Lagos, Nigeria, Africa",,https://www.haul247.co,Haul247,https://www.crunchbase.com/organization/haul247
Seed Round - Yuvod,https://www.crunchbase.com/funding_round/yuvod-seed--87fe3943,Seed,4000000,EUR,4307791,2023-05-23,6,2,Yuvod is a comprehensive PaaS with which to offer a personalized and high-quality IPTV/OTT service.,"Apps, B2B, Software, TV, Video","Valencia, Comunidad Valenciana, Spain, Europe",Less than $1M,https://yuvod.com/,Yuvod,https://www.crunchbase.com/organization/yuvod
Seed Round - Lalazhu,https://www.crunchbase.com/funding_round/lalazhu-seed--4c2ddb2c,Seed,20000000,CNY,2843332,2023-05-22,2,2,Lalazhu is an ecological service platform.,"Apps, E-Commerce, Retail","Guangzhou, Guangdong, China, Asia",,,Lalazhu,https://www.crunchbase.com/organization/lalazhu
Seed Round - Faks,https://www.crunchbase.com/funding_round/faks-seed--413b2664,Seed,5000000,EUR,5418996,2023-05-17,3,3,Faks is a mobile application that provides exchanges between pharmacists and laboratories.,"Digital Marketing, Health Care, Mobile Apps, Pharmaceutical, Software","Paris, Ile-de-France, France, Europe",,https://www.faks.co,Faks,https://www.crunchbase.com/organization/faks
Seed Round - SkyFi,https://www.crunchbase.com/funding_round/skyfi-87a0-seed--a279a04a,Seed,7000000,USD,7000000,2023-05-23,4,2,SkyFi is a business that is creating a satellite photography app.,"Apps, Photography, Satellite Communication, Video","Austin, Texas, United States, North America",,https://www.skyfi.com,SkyFi,https://www.crunchbase.com/organization/skyfi-87a0
Seed Round - BeCause,https://www.crunchbase.com/funding_round/because-eco-seed--2accd954,Seed,510000,USD,510000,2023-05-17,2,6,AI-powered Sustainability Management Hub for Tourism,"Apps, Consulting, Hospitality, Information Services, Information Technology, Marketing, SaaS, Social Media, Tourism, Travel","Copenhagen, Hovedstaden, Denmark, Europe",,https://because.eco/,BeCause,https://www.crunchbase.com/organization/because-eco
Seed Round - Health Basix,https://www.crunchbase.com/funding_round/health-basix-seed--bb1e769d,Seed,,,,2023-06-05,4,2,"Health Basix is a digital health platform that offers health assessments, screening, basic medicines for schools and communities.","Communities, Health Care, Mobile Apps","Coimbatore, Tamil Nadu, India, Asia",$1M to $10M,https://www.healthbasix.com/,Health Basix,https://www.crunchbase.com/organization/health-basix
Seed Round - AYO Indonesia,https://www.crunchbase.com/funding_round/ayo-indonesia-seed--2833d9bf,Seed,,,,2023-05-15,5,3,AYO Indonesia is a Football community app that connects football players and teams across Indonesia.,"Apps, Information Technology, Mobile Apps, Sports","Jakarta, Jakarta Raya, Indonesia, Asia",,https://ayo.co.id/,AYO Indonesia,https://www.crunchbase.com/organization/ayo-indonesia
Pre Seed Round - Storia,https://www.crunchbase.com/funding_round/storia-4634-pre-seed--9cbb0972,Pre-Seed,,,,2023-05-25,7,1,Storia is guided journaling software that helps people uncover their authentic voice.,"Apps, Information Technology, Software","London, England, United Kingdom, Europe",,https://www.storia.world,Storia,https://www.crunchbase.com/organization/storia-4634
Pre Seed Round - Lifemost,https://www.crunchbase.com/funding_round/lifemost-pre-seed--4cf695d5,Pre-Seed,650000,USD,650000,2023-05-24,,1,Corporate well-being platform,"Lifestyle, Mobile Apps, Wellness","Dubai, Dubai, United Arab Emirates, Asia",,https://lifemost.ae/,Lifemost,https://www.crunchbase.com/organization/lifemost
Seed Round - Ninjalerts,https://www.crunchbase.com/funding_round/ninjalerts-seed--69272505,Seed,150000,USD,150000,2023-06-02,2,1,Ninjalerts is a mobile and online software that provides personalised NFT alerts and push notifications for any contract or wallet.,"Blockchain, Information Services, Mobile Apps",,,https://www.ninjalerts.com/,Ninjalerts,https://www.crunchbase.com/organization/ninjalerts
Pre Seed Round - BoomLand,https://www.crunchbase.com/funding_round/boomland-cd43-pre-seed--84f22ee2,Pre-Seed,1000000,USD,1000000,2023-05-22,4,1,BoomLand is a blockchain gaming platform that gives a revolutionary gaming experience.,"Blockchain, Gaming, Mobile Apps","Dubai, Dubai, United Arab Emirates, Asia",,https://boomland.io,BoomLand,https://www.crunchbase.com/organization/boomland-cd43
Seed Round - Manganum,https://www.crunchbase.com/funding_round/manganum-seed--33468ccf,Seed,500000,USD,500000,2023-06-01,1,2,Manganum is designed to transform Google Chrome from a web browsing tool into an inspiring and productive workplace.,"Apps, SMS, Software","Middletown, Delaware, United States, North America",,https://manganum.app,Manganum,https://www.crunchbase.com/organization/manganum
Pre Seed Round - appful,https://www.crunchbase.com/funding_round/appful-pre-seed--43abd549,Pre-Seed,,,,2023-05-29,1,1,Create Top-Notch Blog & News Apps,"Apps, Blogging Platforms, Mobile, Publishing, Software","Mainz, Rheinland-Pfalz, Germany, Europe",Less than $1M,https://appful.io,appful,https://www.crunchbase.com/organization/appful
Seed Round - Async,https://www.crunchbase.com/funding_round/async-8fce-seed--abe47ada,Seed,4000000,USD,4000000,2023-05-23,8,1,"Async is a voice app to free up calendars and emails using voice messages people can read, share, and react to.","Audio, Mobile Apps, Software","New York, New York, United States, North America",,https://async.com,Async,https://www.crunchbase.com/organization/async-8fce
Seed Round - WeGoWhere,https://www.crunchbase.com/funding_round/wegowhere-seed--9b21dd9d,Seed,1200000,USD,1200000,2023-06-01,5,2,"WeGoWhere is a social app that lets people build and manage their relationships, in person.","Consumer Software, Mobile Apps, Social, Social Network","Singapore, Central Region, Singapore, Asia",,https://wegowhere.com/,WeGoWhere,https://www.crunchbase.com/organization/wegowhere
Seed Round - Repark,https://www.crunchbase.com/funding_round/repark-seed--33868fcc,Seed,,,,2023-06-06,1,2,Repark is entering the market with the goal of digitising and simplifying the hunt for a parking place in cities.,"Mobile Apps, Parking","Wiener Neustadt, Niederosterreich, Austria, Europe",,https://www.repark.at,Repark,https://www.crunchbase.com/organization/repark
Pre Seed Round - AssayMe,https://www.crunchbase.com/funding_round/assayme-pre-seed--dda7e73a,Pre-Seed,,,,2023-06-05,1,5,AssayMe app is a personal Wellness & Health Assistant enables patients to monitor health and prevent medical problems,"Apps, Artificial Intelligence, Health Care, Health Diagnostics, Information Services, Information Technology, Mobile","Brooklyn, New York, United States, North America",,https://assayme.cc,AssayMe,https://www.crunchbase.com/organization/assayme
