Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - BBy,https://www.crunchbase.com/funding_round/bby-seed--cc71a7b8,Seed,3000000,USD,3000000,2023-05-25,4,4,BBy is a medical device company that condenses breast milk and turns it into powder.,"Baby, E-Commerce, Marketplace","New York, New York, United States, North America",Less than $1M,http://www.bbyworld.com,BBy,https://www.crunchbase.com/organization/bby
Seed Round - Unitea,https://www.crunchbase.com/funding_round/joox-music-seed--85415cfd,Seed,7000000,USD,7000000,2023-05-16,4,2,For Music People. We are a community rewarding you for loyalty to music you love.,"Big Data, Event Management, Gamification, Media and Entertainment, Mobile, Music, Music Venues, Social, Social Media","Miami, Florida, United States, North America",,http://www.unitea.com,Unitea,https://www.crunchbase.com/organization/joox-music
Seed Round - Health Basix,https://www.crunchbase.com/funding_round/health-basix-seed--bb1e769d,Seed,,,,2023-06-05,4,2,"Health Basix is a digital health platform that offers health assessments, screening, basic medicines for schools and communities.","Communities, Health Care, Mobile Apps","Coimbatore, Tamil Nadu, India, Asia",$1M to $10M,https://www.healthbasix.com/,Health Basix,https://www.crunchbase.com/organization/health-basix
Pre Seed Round - Swoperz,https://www.crunchbase.com/funding_round/swoperz-pre-seed--53bb5fc0,Pre-Seed,250000,GBP,313872,2023-06-08,1,1,Swoperz is a marketplace for used children's apparel.,"Children, Fashion, Retail","London, England, United Kingdom, Europe",,https://swoperz.com/,Swoperz,https://www.crunchbase.com/organization/swoperz
Seed Round - Genetica,https://www.crunchbase.com/funding_round/genetica-seed--0f3fa972,Seed,500000,USD,500000,2023-05-24,4,1,"Genetica provides exact product suggestions, guaranteeing that clients obtain the best product for their wants, biochemistry.","Artificial Intelligence, Cannabis, Retail Technology, SaaS, Software, Wellness",,,https://www.getgenetica.com,Genetica,https://www.crunchbase.com/organization/genetica
Pre Seed Round - Lifemost,https://www.crunchbase.com/funding_round/lifemost-pre-seed--4cf695d5,Pre-Seed,650000,USD,650000,2023-05-24,,1,Corporate well-being platform,"Lifestyle, Mobile Apps, Wellness","Dubai, Dubai, United Arab Emirates, Asia",,https://lifemost.ae/,Lifemost,https://www.crunchbase.com/organization/lifemost
Seed Round - GrowLab Organics,https://www.crunchbase.com/funding_round/growlab-organics-seed--e545c689,Seed,1000000,GBP,1240454,2023-06-05,2,1,GrowLab Organics is a medical cannabis company.,"Alternative Medicine, Cannabis","Douglas, NA - Isle of Man, Isle of Man, Europe",,https://growlaborganics.com,GrowLab Organics,https://www.crunchbase.com/organization/growlab-organics
Pre Seed Round - Giverly,https://www.crunchbase.com/funding_round/giverly-pre-seed--b046e162,Pre-Seed,,,,2023-05-16,1,1,Giverly is an online charity cashback platform that converts everyday online shopping into free and meaningful donations to charities.,"Affiliate Marketing, Charity, E-Commerce, E-Commerce Platforms, Social Entrepreneurship","Gurgaon, Haryana, India, Asia",,https://giverly.co/,Giverly,https://www.crunchbase.com/organization/giverly
Seed Round - Rosy Wellness,https://www.crunchbase.com/funding_round/rosy-seed--8fffe613,Seed,1200000,USD,1200000,2023-05-30,,6,Rosy Wellness develops a sexual health and wellness app-based platform for women.,"mHealth, Personal Health, Sex Tech, Wellness, Women's","Dallas, Texas, United States, North America",,https://www.meetrosy.com/,Rosy Wellness,https://www.crunchbase.com/organization/rosy
Seed Round - WeGoWhere,https://www.crunchbase.com/funding_round/wegowhere-seed--9b21dd9d,Seed,1200000,USD,1200000,2023-06-01,5,2,"WeGoWhere is a social app that lets people build and manage their relationships, in person.","Consumer Software, Mobile Apps, Social, Social Network","Singapore, Central Region, Singapore, Asia",,https://wegowhere.com/,WeGoWhere,https://www.crunchbase.com/organization/wegowhere
Seed Round - Dr. Vivien Karl,https://www.crunchbase.com/funding_round/dr-vivien-karl-seed--de3b569a,Seed,1500000,USD,1500000,2023-05-17,4,2,Dr. Vivien Karl is a beauty cream manufacturing company that produces Intimpflege products.,"Health Care, Personal Health, Wellness, Women's","Köln, Nordrhein-Westfalen, Germany, Europe",Less than $1M,https://vivienkarl.com/,Dr. Vivien Karl,https://www.crunchbase.com/organization/dr-vivien-karl
Seed Round - Togee,https://www.crunchbase.com/funding_round/togee-technologies-ab-seed--30f2d8d1,Seed,5000000,SEK,460869,2023-06-05,1,3,"Togee is a social plug-in to anything you're doing on your phone. Shop, watch or collaborate in real time. Experience Together.","Communities, Education, Internet, Mobile Apps, Social Network, Telecommunications","Stockholm, Stockholms Lan, Sweden, Europe",,http://www.togee.com,Togee,https://www.crunchbase.com/organization/togee-technologies-ab
Seed Round - U.mode,https://www.crunchbase.com/funding_round/u-mode-seed--0747e72d,Seed,2700000,BRL,543708,2023-05-18,2,1,U.mode is one of the fashion companies in the process of digital transformation.,"Email, Fashion, Information Technology, Lifestyle, Retail Technology","São Paulo, Sao Paulo, Brazil, South America",$1M to $10M,https://umode.com.br,U.mode,https://www.crunchbase.com/organization/u-mode
Seed Round - Shinol,https://www.crunchbase.com/funding_round/shinol-seed--9f6873ab,Seed,,,,2023-05-15,1,1,Shinol is a social community app for matching friends of 5070 generations.,"Apps, Communities, Social","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",,http://www.sinor.co.kr,Shinol,https://www.crunchbase.com/organization/shinol
